CustomerID,Name,ContactInfo,LanguagePreference,KYCStatus,AMLStatus,GDPRConsent,DPDPConsent,DateOfBirth,Password
33,Tricia Beck,brownaudrey@hotmail.com,Chinese,Expired,Flagged,FALSE,FALSE,10/11/1985,test12377
34,Amanda Jacobs,xruiz@acosta.net,English,Expired,Flagged,FALSE,FALSE,6/30/1999,test12378
35,Dr. Catherine White DDS,torresbilly@robertson.org,French,Pending,Clear,FALSE,TRUE,7/30/1971,test12379
36,Steven Castillo,ipatel@gonzales-spencer.info,Spanish,Verified,Clear,FALSE,FALSE,11/19/1970,test12380
37,Deborah Ruiz,daniel95@hotmail.com,Spanish,Expired,Clear,TRUE,TRUE,3/27/1948,test12381
38,Deborah Boyle,harveyjuan@yahoo.com,French,Expired,Clear,FALSE,TRUE,8/20/1999,test12382
39,James Hayes,janicebailey@mullins-martin.net,Chinese,Pending,Flagged,FALSE,FALSE,6/9/1989,test12383
40,Peter Diaz,kathleen28@pierce.com,German,Expired,Clear,FALSE,TRUE,2/5/1956,test12384
41,Larry Kim,kimberly24@rodriguez.net,English,Expired,Clear,TRUE,TRUE,4/7/1995,test12385
42,Sarah Roberts,john74@butler.info,Hindi,Verified,Flagged,FALSE,FALSE,6/30/2006,test12386
43,Douglas Ross,george40@mcpherson-kemp.com,Chinese,Expired,Flagged,FALSE,TRUE,8/24/1945,test12387
44,Shannon Sanchez,bethany29@miller.org,English,Pending,Flagged,FALSE,TRUE,4/24/1988,test12388
45,Theresa Moran,patrick84@gmail.com,Spanish,Verified,Flagged,FALSE,FALSE,2/4/1984,test12389
46,Carla Berg,christianhays@travis.com,German,Pending,Clear,FALSE,TRUE,11/14/1991,test12390
47,Rodney Cisneros,kmoran@yahoo.com,Hindi,Expired,Flagged,TRUE,FALSE,4/2/1988,test12391
48,April Warren,jonathan82@rhodes-crawford.com,Hindi,Pending,Flagged,TRUE,FALSE,9/1/1947,test12392
49,Leonard Ramirez,heiditurner@bell.org,Spanish,Expired,Clear,TRUE,FALSE,7/18/1996,test12393
50,Corey Thomas,gjohnson@yahoo.com,Arabic,Pending,Clear,TRUE,FALSE,4/10/1985,test12394
51,Wayne Lindsey,kerry47@gmail.com,Arabic,Expired,Flagged,FALSE,FALSE,1/8/1974,test12395
52,Gregory Williams,armstronganthony@williams.biz,Chinese,Expired,Flagged,FALSE,FALSE,11/29/1947,test12396
53,Sean Salazar,saracooper@williams.com,German,Pending,Flagged,TRUE,TRUE,1/13/1967,test12397
54,Mary Vang,rcallahan@daniel.com,Hindi,Expired,Flagged,FALSE,FALSE,12/6/1991,test12398
55,Molly Rodriguez,larrynelson@chen.com,English,Expired,Clear,FALSE,FALSE,10/29/1975,test12399
56,Kevin Duarte,stonejacob@yahoo.com,Spanish,Expired,Flagged,FALSE,TRUE,9/5/1973,test12400
57,Ernest Vargas,gerald36@jenkins-martinez.com,Chinese,Expired,Clear,FALSE,FALSE,3/5/1974,test12401
58,Kelly Wagner,rallen@crosby.com,Chinese,Expired,Clear,FALSE,FALSE,4/5/1952,test12402
59,Christine Green,gutierrezrandy@gmail.com,German,Expired,Flagged,TRUE,TRUE,5/12/1949,test12403
60,Elizabeth Mills,brandonlee@walsh.com,English,Pending,Clear,FALSE,FALSE,11/4/1982,test12404
61,Laura Rodriguez,jose33@briggs-carter.com,German,Pending,Clear,TRUE,FALSE,5/16/1972,test12405
62,Mark Kelly,hbarton@yahoo.com,German,Verified,Clear,TRUE,FALSE,5/8/1991,test12406
63,Carolyn Adams,ronaldanderson@hamilton-huber.com,Chinese,Pending,Flagged,TRUE,FALSE,8/13/2002,test12407
64,Sarah Roberts,davisandrea@mitchell.com,Hindi,Expired,Flagged,FALSE,FALSE,4/23/1980,test12408
65,Maria Castillo,juliahicks@yahoo.com,Chinese,Verified,Clear,TRUE,FALSE,9/16/2000,test12409
66,Sharon Moore,smithlauren@walker-barton.com,Spanish,Pending,Flagged,FALSE,FALSE,3/5/1966,test12410
67,Pamela Friedman,angela82@hotmail.com,Spanish,Verified,Clear,TRUE,FALSE,2/26/1972,test12411
68,Justin Herrera,wwalters@hotmail.com,English,Pending,Clear,TRUE,FALSE,10/31/1954,test12412
69,Karen Schmidt,brewertyler@hotmail.com,Hindi,Expired,Flagged,FALSE,FALSE,9/13/2000,test12413
70,Heather Wilson,qchapman@jones.biz,German,Expired,Flagged,TRUE,TRUE,1/12/1976,test12414
71,John Gonzalez,maurice74@mccoy-black.info,English,Expired,Clear,FALSE,TRUE,3/1/2002,test12415
72,Brenda Buck,fowlerlauren@pierce-price.com,Chinese,Expired,Clear,FALSE,TRUE,3/15/1962,test12416
73,Nicole French,thomas30@moyer.biz,German,Expired,Clear,TRUE,TRUE,5/23/1984,test12417
74,Gregory Williamson,wilsonkaren@jones.info,English,Verified,Clear,FALSE,FALSE,10/12/1999,test12418
75,Gregory Hines,joanna66@yahoo.com,Hindi,Verified,Flagged,FALSE,FALSE,3/30/1949,test12419
76,Linda Osborn,ymaynard@hill.com,Arabic,Expired,Clear,FALSE,FALSE,4/5/1956,test12420
77,Jessica Martinez,evelyn67@hotmail.com,French,Verified,Clear,FALSE,TRUE,3/6/2002,test12421
78,Heather Garcia,rsmith@hotmail.com,Arabic,Pending,Flagged,TRUE,FALSE,12/12/1969,test12422
79,Danielle Church,matthewhammond@hotmail.com,French,Verified,Flagged,TRUE,FALSE,5/6/1984,test12423
80,Kelly Neal,vcoleman@carr.com,Hindi,Pending,Flagged,FALSE,FALSE,5/29/1950,test12424
81,Allison Reeves,lanewilliam@potter.com,Chinese,Pending,Flagged,FALSE,TRUE,10/9/1995,test12425
82,Keith Henderson,karenrodriguez@hotmail.com,Spanish,Verified,Clear,FALSE,TRUE,10/26/1957,test12426
83,Melanie Davidson,jamesscott@gmail.com,English,Pending,Flagged,TRUE,TRUE,9/18/1953,test12427
84,Charles Gross,plong@mosley-parks.com,Arabic,Expired,Flagged,FALSE,TRUE,2/6/1985,test12428
85,Rodney Cooke,kristinowen@stone.org,English,Verified,Flagged,FALSE,TRUE,3/6/1960,test12429
86,Robert Holmes,perezmary@hotmail.com,Arabic,Expired,Clear,FALSE,TRUE,5/6/1961,test12430
87,Kimberly Young,linda56@wallace.com,German,Verified,Clear,TRUE,TRUE,9/5/1944,test12431
88,Anthony Miller,montesluke@hotmail.com,Hindi,Verified,Flagged,FALSE,TRUE,10/21/1993,test12432
89,Jon Sullivan,mark60@hatfield.com,Hindi,Verified,Flagged,FALSE,TRUE,6/18/1966,test12433
90,Kelly Jennings,davidreyes@yahoo.com,Spanish,Expired,Flagged,FALSE,FALSE,12/27/2004,test12434
91,Amanda Martin,allenjennifer@petersen-rodriguez.info,Hindi,Expired,Flagged,TRUE,FALSE,8/26/2006,test12435
92,Shawn Rivera,mgray@yahoo.com,Hindi,Pending,Flagged,TRUE,TRUE,4/4/1957,test12436
93,Tiffany Griffith,hernandezjustin@collier-solomon.org,French,Verified,Flagged,FALSE,FALSE,5/1/1956,test12437
94,Kaitlin Wilkerson,david32@smith.com,Chinese,Verified,Flagged,TRUE,FALSE,11/6/2006,test12438
95,Tammy Stewart,davidwaters@lee.info,Arabic,Verified,Clear,TRUE,TRUE,11/20/1982,test12439
96,Jessica Smith,melissa54@nguyen.org,Spanish,Verified,Clear,TRUE,FALSE,7/4/1980,test12440
97,Paula Moore,lisawheeler@hotmail.com,French,Pending,Flagged,FALSE,FALSE,9/9/2003,test12441
98,James Smith,alvaradograce@yahoo.com,English,Pending,Flagged,TRUE,FALSE,9/13/1972,test12442
99,Jonathan Schmidt,susan50@owen.com,Hindi,Pending,Clear,FALSE,TRUE,12/14/1967,test12443
100,Sheena Miller,sarahgilbert@hotmail.com,French,Pending,Flagged,TRUE,TRUE,3/20/1980,test12444
101,Ian Smith,anthony43@hotmail.com,Hindi,Verified,Clear,FALSE,FALSE,9/13/1981,test12445
102,Miss Danielle Donaldson,carlsalazar@yahoo.com,Hindi,Pending,Flagged,FALSE,TRUE,10/26/1980,test12446
103,Jennifer Glover,parkerdavid@gmail.com,English,Pending,Flagged,TRUE,TRUE,12/6/1953,test12447
104,Jonathan Kerr,donaldsonbrad@yahoo.com,Chinese,Verified,Flagged,TRUE,TRUE,11/15/1974,test12448
105,Susan Hicks,debra31@gmail.com,English,Expired,Flagged,FALSE,FALSE,10/12/1991,test12449
106,Claudia Estrada,schmidtcaitlin@yahoo.com,Chinese,Pending,Clear,FALSE,FALSE,8/6/1992,test12450
107,Nicole Lewis,pamelaanderson@yahoo.com,French,Verified,Clear,FALSE,TRUE,4/15/1965,test12451
108,Ryan Miller,michaellane@harrison.com,English,Expired,Clear,TRUE,TRUE,11/20/1966,test12452
109,Mary Richmond,brownkelly@hotmail.com,German,Verified,Clear,TRUE,TRUE,9/11/2001,test12453
110,Cheryl Carter,johnhoward@yahoo.com,Hindi,Verified,Clear,TRUE,TRUE,5/8/2000,test12454
111,Sylvia Scott,ryanblair@yahoo.com,Hindi,Verified,Flagged,TRUE,FALSE,5/12/2007,test12455
112,Kenneth Foster,ramseybonnie@gmail.com,English,Verified,Flagged,FALSE,FALSE,4/17/1989,test12456
113,Rebecca Mclean,sbennett@hotmail.com,Chinese,Pending,Clear,TRUE,TRUE,9/8/1956,test12457
114,Holly Parks MD,davidmiller@hotmail.com,Hindi,Verified,Clear,TRUE,TRUE,10/4/1999,test12458
115,Laura Pacheco,erinaguirre@yahoo.com,Arabic,Pending,Clear,TRUE,FALSE,7/23/1978,test12459
116,Christopher Reynolds,ashleypeterson@hotmail.com,French,Verified,Clear,TRUE,TRUE,6/8/1957,test12460
117,Sheryl Jackson,nicole25@gmail.com,German,Pending,Clear,TRUE,FALSE,8/16/1991,test12461
118,Jacqueline Cuevas,maria45@smith-lee.com,Hindi,Expired,Flagged,TRUE,TRUE,11/9/1999,test12462
119,Albert Oneal,robert46@gmail.com,Arabic,Expired,Flagged,TRUE,FALSE,7/24/1994,test12463
120,Joseph Rodriguez,njones@hayes-grimes.biz,Arabic,Verified,Clear,TRUE,FALSE,3/24/1955,test12464
admin,Admin User,admin@yourbank.example,English,Verified,Clear,TRUE,TRUE,1/1/1980,adminpass
